717,5174,3978
442885,6721,5178,3976
442886,6723,5172,3970
442887,6720,5176,3981
442888,6720,5174,3978
442889,6721,5175,3977
442890,6715,5171,3973
442891,6718,5175,3975
442892,6720,5172,3980
442893,6713,5171,3980
442894,6717,5176,3977
442895,6718,5173,3977
442896,6718,5174,3977
442897,6719,5173,3984
442898,6720,5175,3980
442899,6720,5174,3981
442900,6718,5175,3980
442901,6719,5174,3967
442902,6722,5172,3981
442903,6694,5166,4462
442904,6712,5167,3990
442905,6725,5173,3977
442906,6715,5178,3976
442907,6720,5171,3978
442908,6719,5175,3979
442909,6715,5173,3983
442910,6720,5174,3977
442911,6720,5172,3979
442912,6723,5174,3973
442913,6719,5183,3981
442914,6717,5175,3974
442915,6720,5172,3976
442916,6716,5172,3980
442917,6720,5175,3977
442918,6712,5170,3979
442919,6720,5176,3976
442920,6717,5174,3975
442921,6719,5174,3975
442922,6719,5172,3977
442923,6729,5181,3536
442924,6717,5172,3967
442925,6719,5172,3980
442926,6721,5172,3977
442927,6721,5176,3984
442928,6718,5172,3984
442929,6718,5175,3970
442930,6717,5173,3977
442931,6719,5174,3977
442932,6715,5172,3980
442933,6719,5173,3975
442934,6718,5173,3975
442935,6721,5175,3975
442936,6714,5177,3976
442937,6717,5176,3976
442938,6718,5175,3975
442939,6722,5177,3982
442940,6720,5174,3975
442941,6717,5172,3978
442942,6717,5174,3967
442943,6717,5175,4815
442944,6720,5174,4015
442945,6719,5172,3973
442946,6717,5167,3978
442947,6717,5175,3972
442948,6719,5174,3979
442949,6717,5174,3977
442950,6721,5173,3977
442951,6718,5175,3973
442952,6716,5175,3978
442953,6720,5176,3976
442954,6722,5170,3974
442955,6722,5177,3982
442956,6719,5175,3976
442957,6712,5171,3983
442958,6718,5173,3981
442959,6723,5175,3979
442960,6722,5175,3980
442961,6717,5175,3975
442962,6712,5175,3978
442963,6725,5176,4035
442964,6715,5172,3982
442965,6715,5172,3973
442966,6719,5172,3976
442967,6714,5183,3973
442968,6718,5174,3981
442969,6719,5176,3981
442970,6716,5177,3978
442971,6721,5169,3974
442972,6720,5173,3974
442973,6720,5177,3975
442974,6718,5174,3980
442975,6721,5170,3980
442976,6720,5174,3971
442977,6715,5173,3982
442978,6720,5174,3980
442979,6716,5171,3972
442980,6723,5178,3976
442981,6716,5175,3975
442982,6708,5178,3985
442983,6711,5170,4300
442984,6723,5181,3989
442985,6715,5175,3987
442986,6718,5175,3977
442987,6714,5173,3979
442988,6716,5174,3973
442989,6724,5175,3977
442990,6718,5172,3973
442991,6721,5171,3982
442992,6718,5175,3976
442993,6718,5170,3971
442994,6723,5177,3980
442995,6719,5170,3975
442996,6716,5172,3984
442997,6721,5173,3978
442998,6719,5176,3974
442999,6721,5177,3975
443000,6717,5173,3977
443001,6717,5174,3980
443002,6721,5173,3981
443003,6733,5185,4204
443004,6718,5175,3970
443005,6719,5174,3967
443006,6720,5175,3979
443007,6715,5177,3983
443008,6720,5177,3977
443009,6719,5175,3977
443010,6712,5173,3982
443011,6720,5173,3979
443012,6720,5174,3975
443013,6723,5175,3978
443014,6720,5172,3979
443015,6722,5174,3970
443016,6717,5175,3975
443017,6718,5174,3974
443018,6716,5169,3972
443019,6719,5173,3976
443020,6721,5178,3977
443021,6713,5175,3985
443022,6718,5174,3979
443023,6724,5176,4209
443024,6721,5179,3972
443025,6721,5172,3984
443026,6721,5177,3975
443027,6722,5174,3975
443028,6718,5175,3976
443029,6720,5172,3972
443030,6717,5175,3979
443031,6718,5172,3978
443032,6712,5172,3985
443033,6720,5176,3976
443034,6718,5181,3981
443035,6716,5171,3977
443036,6720,5172,3974
443037,6723,5173,3971
443038,6720,5173,3976
443039,6720,5178,3975
443040,6721,5174,3972
443041,6717,5174,3976
443042,6716,5178,3971
443043,6720,5173,3978
443044,6718,5174,3970
443045,6722,5177,3976
443046,6717,5170,3986
443047,6723,5176,3971
443048,6720,5170,3977
443049,6719,5171,3977
443050,6718,5173,3976
443051,6720,5176,3976
443052,6719,5175,3973
443053,6717,5172,3975
443054,6720,5173,3975
443055,6719,5176,3983
443056,6723,5178,3973
443057,6719,5166,3969
443058,6719,5175,3979
443059,6720,5174,3977
443060,6709,5177,3985
443061,6719,5176,3981
443062,6717,5174,3973
443063,6716,5181,4697
443064,6717,5172,3970
443065,6722,5176,3972
443066,6724,5173,3981
443067,6716,5175,3981
443068,6719,5170,3975
443069,6722,5173,3975
443070,6719,5177,3976
443071,6708,5175,3981
443072,6720,5174,3978
443073,6715,5178,3973
443074,6717,5171,3976
443075,6721,5171,3979
443076,6721,5176,3972
443077,6718,5175,3977
443078,6718,5174,3980
443079,6720,5176,3972
443080,6720,5176,3976
443081,6719,5172,3971
443082,6717,5170,3967
443083,6725,5188,3257
443084,6716,5176,3988
443085,6718,5175,3988
443086,6718,5178,3980
443087,6715,5175,3976
443088,6718,5176,3979
443089,6717,5175,3978
443090,6720,5177,3974
443091,6720,5174,3977
443092,6719,5177,3976
443093,6718,5169,3972
443094,6723,5180,3981
443095,6719,5174,3977
443096,6712,5174,3980
443097,6719,5175,3981
443098,6719,5173,3980
443099,6715,5165,3974
443100,6716,5173,3977
443101,6723,5182,3976
443102,6723,5175,3980
443103,6727,5177,3710
443104,6717,5177,3957
443105,6717,5174,3975
443106,6719,5180,3982
443107,6720,5170,3975
443108,6722,5176,3976
443109,6719,5174,3973
443110,6714,5173,3984
443111,6721,5176,3979
443112,6716,5173,3987
443113,6717,5173,3979
443114,6719,5176,3976
443115,6728,5178,3975
443116,6719,5176,3980
443117,6717,5174,3979
443118,6721,5173,3973
443119,6720,5174,3975
443120,6722,5177,3979
443121,6718,5170,3977
443122,6719,5173,3982
443123,6738,5170,4238
443124,6716,5171,3963
443125,6717,5176,3972
443126,6720,5173,3975
443127,6719,5176,3977
443128,6718,5174,3976
443129,6716,5175,3975
443130,6721,5176,3978
443131,6719,5174,3977
443132,6718,5171,3982
443133,6719,5172,3984
443134,6719,5177,3978
443135,6712,5171,3978
443136,6715,5171,3973
443137,6721,5173,3982
443138,6713,5173,3982
443139,6722,5179,3975
443140,6718,5174,3978
443141,6722,5180,3973
443142,6717,5172,3982
443143,6724,5175,4108
443144,6707,5174,3972
443145,6717,5173,3980
443146,6719,5166,3983
443147,6719,5174,3981
443148,6723,5179,3974
443149,6709,5173,3980
443150,6719,5176,3977
443151,6718,5173,3982
443152,6722,5175,3977
443153,6720,5172,3973
443154,6717,5178,3968
443155,6721,5180,3975
443156,6719,5174,3975
443157,6720,5171,3978
443158,6721,5176,3979
443159,6716,5173,3975
443160,6719,5171,3977
443161,6719,5176,3976
443162,6719,5173,3972
443163,6733,5160,4387
443164,6718,5178,3966
443165,6718,5174,3979
443166,6720,5174,3982
443167,6721,5175,3974
443168,6718,5174,3980
443169,6717,5176,3975
443170,6720,5173,3975
443171,6721,5170,3975
443172,6722,5174,3978
443173,6720,5175,3982
443174,6712,5172,3984
443175,6718,5177,3975
443176,6719,5176,3971
443177,6721,5176,3974
443178,6719,5173,3979
443179,6719,5178,3979
443180,6717,5173,3974
443181,6721,5176,3974
443182,6718,5173,3978
443183,6706,5169,3802
443184,6722,5173,3947
443185,6719,5172,3972
443186,6719,5175,3977
443187,6718,5172,3973
443188,6711,5175,3982
443189,6716,5173,3973
443190,6719,5173,3980
443191,6722,5173,3979
443192,6718,5176,3981
443193,6718,5180,3973
443194,6719,5174,3977
443195,6717,5178,3981
443196,6719,5172,3976
443197,6716,5175,3982
443198,6719,5173,3977
443199,6718,5174,3977
443200,6720,5176,3978
443201,6721,5178,3979
443202,6720,5170,3973
443203,6738,5169,3752
443204,6719,5176,3958
443205,6723,5175,3975
443206,6718,5171,3978
443207,6723,5176,3972
443208,6719,5173,3976
443209,6719,5173,3979
443210,6721,5169,3977
443211,6721,5174,3978
443212,6717,5176,3973
443213,6720,5170,3986
443214,6719,5176,3976
443215,6719,5175,3978
443216,6718,5175,3971
443217,6718,5175,3971
443218,6718,5175,3968
