3,5177,3969
336069,6714,5172,3986
336070,6722,5178,3981
336071,6719,5175,3978
336072,6713,5174,3984
336073,6719,5172,3980
336074,6717,5175,3899
336075,6721,5177,3961
336076,6725,5176,3978
336077,6716,5176,3974
336078,6717,5173,3973
336079,6719,5175,3978
336080,6722,5173,3975
336081,6721,5174,3979
336082,6717,5175,3975
336083,6712,5178,3983
336084,6717,5174,3979
336085,6720,5178,3974
336086,6720,5178,3980
336087,6718,5177,3982
336088,6721,5178,3980
336089,6720,5173,3979
336090,6722,5175,3977
336091,6720,5175,3972
336092,6717,5172,3979
336093,6723,5181,3983
336094,6715,5169,3989
336095,6719,5173,3968
336096,6718,5173,3975
336097,6713,5170,3980
336098,6719,5174,3978
336099,6722,5174,3979
336100,6721,5177,3977
336101,6717,5173,3979
336102,6720,5173,3973
336103,6720,5175,3981
336104,6719,5176,3979
336105,6719,5173,3978
336106,6717,5176,3981
336107,6721,5175,3977
336108,6718,5172,3980
336109,6717,5174,3977
336110,6721,5176,3972
336111,6718,5175,3978
336112,6720,5176,3976
336113,6716,5171,3977
336114,6718,5173,3975
336115,6718,5175,3944
336116,6722,5174,3974
336117,6721,5181,3972
336118,6718,5173,3978
336119,6720,5171,3976
336120,6723,5174,3978
336121,6728,5176,3975
336122,6719,5170,3977
336123,6718,5174,3980
336124,6719,5175,3979
336125,6720,5173,3979
336126,6720,5174,3980
336127,6719,5172,3980
336128,6717,5175,3977
336129,6721,5177,3974
336130,6721,5170,3976
336131,6719,5175,3976
336132,6722,5174,3976
336133,6720,5167,3975
336134,6716,5176,3953
336135,6721,5171,4006
336136,6713,5175,3981
336137,6720,5172,3977
336138,6721,5176,3974
336139,6722,5175,3986
336140,6717,5170,3979
336141,6719,5177,3975
336142,6717,5175,3981
336143,6723,5174,3979
336144,6717,5171,3975
336145,6719,5174,3984
336146,6718,5173,3977
336147,6718,5174,3975
336148,6718,5176,3980
336149,6718,5172,3974
336150,6717,5175,3974
336151,6717,5173,3979
336152,6717,5175,3977
336153,6719,5174,3980
336154,6725,5168,3774
336155,6716,5176,4011
336156,6718,5174,3973
336157,6718,5174,3974
336158,6715,5174,3978
336159,6719,5172,3978
336160,6719,5179,3975
336161,6720,5168,3976
336162,6719,5176,3975
336163,6716,5176,3976
336164,6714,5173,3976
336165,6717,5176,3976
336166,6711,5173,3978
336167,6719,5174,3976
336168,6719,5170,3978
336169,6718,5168,3976
336170,6717,5175,3976
336171,6718,5174,3975
336172,6710,5171,3986
336173,6719,5173,3977
336174,6719,5177,3934
336175,6713,5173,3908
336176,6718,5173,3982
336177,6720,5175,3977
336178,6723,5173,3973
336179,6717,5176,3974
336180,6719,5174,3973
336181,6720,5175,3980
336182,6721,5176,3975
336183,6716,5168,3972
336184,6715,5178,3973
336185,6719,5173,3977
336186,6720,5170,3975
336187,6726,5173,3982
336188,6717,5175,3982
336189,6715,5175,3981
336190,6718,5174,3980
336191,6723,5176,3970
336192,6720,5175,3979
336193,6716,5174,3978
336194,6720,5180,3471
336195,6721,5175,4094
336196,6718,5174,3969
336197,6717,5173,3980
336198,6716,5173,3984
336199,6719,5175,3978
336200,6719,5168,3973
336201,6713,5175,3980
336202,6717,5175,3978
336203,6716,5177,3979
336204,6718,5174,3976
336205,6717,5173,3971
336206,6720,5174,3976
336207,6715,5174,3975
336208,6719,5167,3977
336209,6718,5176,3974
336210,6719,5174,3977
336211,6718,5175,3980
336212,6718,5176,3977
336213,6721,5174,3976
336214,6726,5179,4596
336215,6718,5174,3910
336216,6716,5174,3971
336217,6718,5176,3973
336218,6720,5177,3975
336219,6721,5173,3974
336220,6716,5173,3978
336221,6721,5174,3986
336222,6721,5169,3979
336223,6718,5176,3983
336224,6717,5176,3978
336225,6721,5166,3974
336226,6721,5172,3978
336227,6720,5173,3976
336228,6718,5171,3978
336229,6719,5173,3977
336230,6718,5176,3978
336231,6719,5179,3978
336232,6718,5174,3978
336233,6719,5172,3978
336234,6719,5171,3922
336235,6719,5177,4010
336236,6719,5168,3976
