720,5165,3971
637283,1822,5172,3977
637284,1822,5167,3988
637285,1818,5173,3980
637286,1819,5180,3977
637287,1816,5173,3976
637288,1820,5174,3976
637289,1820,5177,3983
637290,1821,5178,3980
637291,1827,5171,3981
637292,1818,5171,3973
637293,1820,5172,3975
637294,1819,5172,3976
637295,1820,5171,3973
637296,1817,5161,3976
637297,1821,5186,3982
637298,1816,5166,3980
637299,1817,5173,3983
637300,1807,5173,3984
637301,1828,5168,3983
637302,1822,5172,3972
637303,1820,5173,3975
637304,1818,5172,3974
637305,1818,5179,3980
637306,1820,5176,3975
637307,1821,5169,3979
637308,1826,5166,3978
637309,1821,5169,3979
637310,1818,5176,3980
637311,1816,5174,3988
637312,1816,5166,3980
637313,1817,5177,3983
637314,1819,5176,3978
637315,1819,5172,3976
637316,1820,5176,3980
637317,1809,5174,3972
637318,1811,5163,3981
637319,1818,5195,3984
637320,1817,5167,3985
637321,1812,5172,3973
637322,1820,5169,3979
637323,1815,5166,3974
637324,1821,5173,3978
637325,1816,5174,3984
637326,1817,5172,3974
637327,1805,5173,3976
637328,1830,5175,3977
637329,1822,5172,3981
637330,1820,5174,3982
637331,1825,5173,3963
637332,1834,5170,3982
637333,1812,5172,3982
637334,1820,5168,3981
637335,1820,5173,3983
637336,1818,5172,3983
637337,1815,5173,3979
637338,1819,5196,3980
637339,1824,5173,3973
637340,1818,5172,3982
637341,1820,5182,3982
637342,1817,5181,3974
637343,1816,5196,3975
637344,1831,5166,3975
637345,1828,5167,3975
637346,1819,5180,3979
637347,1820,5176,3980
637348,1818,5169,3982
637349,1818,5174,3982
637350,1823,5179,3978
637351,1810,5167,3978
637352,1818,5175,3982
637353,1832,5173,3987
637354,1814,5184,3983
637355,1819,5199,3980
637356,1815,5171,3967
637357,1816,5173,3976
637358,1819,5188,3979
637359,1815,5167,3977
637360,1837,5185,4360
637361,1813,5178,3976
637362,1820,5167,3969
637363,1813,5178,3978
637364,1838,5179,3978
637365,1820,5169,3976
637366,1820,5177,3979
637367,1828,5174,3974
637368,1819,5171,3977
637369,1837,5183,3981
637370,1819,5177,3975
637371,1819,5175,3975
637372,1816,5163,3981
637373,1817,5170,3973
637374,1826,5171,3978
637375,1809,5171,3974
637376,1818,5172,3979
637377,1812,5180,3976
637378,1818,5183,3982
637379,1819,5171,3981
637380,1826,5175,3983
637381,1831,5173,3975
637382,1810,5170,3972
637383,1816,5178,3973
637384,1815,5165,3980
637385,1814,5172,3982
637386,1812,5167,3975
637387,1816,5170,3977
637388,1816,5157,3975
637389,1805,5173,3979
637390,1819,5173,3978
637391,1822,5170,3982
637392,1820,5178,3976
637393,1816,5192,3973
637394,1818,5179,3977
637395,1838,5188,3970
637396,1811,5161,3980
637397,1822,5173,3981
637398,1819,5165,3977
637399,1821,5171,3976
637400,1819,5173,3980
637401,1813,5174,3983
637402,1818,5174,3978
637403,1818,5174,3977
637404,1827,5174,3981
637405,1823,5172,3981
637406,1825,5173,3981
637407,1818,5178,3982
637408,1820,5171,3982
637409,1818,5172,3969
637410,1820,5195,3978
637411,1816,5168,3982
637412,1809,5167,3982
637413,1819,5173,3974
637414,1818,5165,3979
637415,1828,5156,3981
637416,1823,5170,3975
637417,1837,5177,3978
637418,1830,5171,3978
637419,1818,5172,3975
637420,1821,5167,3971
637421,1819,5173,3981
637422,1818,5182,3974
637423,1818,5168,3980
637424,1819,5175,3974
637425,1802,5183,3979
637426,1815,5171,3979
637427,1820,5187,3980
637428,1818,5166,3970
637429,1818,5172,3974
637430,1818,5176,3977
637431,1823,5174,3977
637432,1820,5173,3974
637433,1819,5176,3973
637434,1842,5180,3973
637435,1819,5177,3975
637436,1818,5171,3979
637437,1819,5173,3975
637438,1818,5168,3979
637439,1807,5174,3981
637440,1815,5172,3979
637441,1820,5176,3980
637442,1817,5172,3979
637443,1818,5175,3987
637444,1829,5174,3975
637445,1819,5171,3969
637446,1819,5176,3978
637447,1818,5172,3974
637448,1817,5167,3978
637449,1838,5176,3981
637450,1812,5176,3978
637451,1811,5164,3972
637452,1818,5171,3978
637453,1821,5161,3977
637454,1819,5170,3975
637455,1817,5175,3974
637456,1821,5174,3978
637457,1819,5173,3975
637458,1821,5164,3982
637459,1812,5177,3979
637460,1816,5171,3978
637461,1820,5175,3975
637462,1820,5171,3972
637463,1810,5172,3981
637464,1820,5172,3977
637465,1806,5178,3983
637466,1815,5172,3980
637467,1817,5190,3979
637468,1809,5171,3977
637469,1810,5172,3975
637470,1811,5170,3986
637471,1817,5178,3982
637472,1822,5169,3987
637473,1817,5172,3967
637474,1821,5172,3972
637475,1812,5187,3977
637476,1817,5167,3980
637477,1841,5180,3981
637478,1827,5167,3980
637479,1827,5165,3976
637480,1819,5171,3995
637481,1819,5186,3982
637482,1827,5159,3970
637483,1819,5171,3977
637484,1827,5173,3969
637485,1798,5180,3984
637486,1823,5173,3980
637487,1809,5168,3974
637488,1818,5173,3985
637489,1797,5165,3981
637490,1819,5166,3976
637491,1812,5194,3977
637492,1821,5161,3979
637493,1827,5180,3976
637494,1822,5172,3975
637495,1821,5174,3982
637496,1820,5171,3972
637497,1819,5183,3979
637498,1819,5179,3973
637499,1817,5173,3977
637500,1811,5167,3979
637501,1815,5166,3981
637502,1821,5161,3971
637503,1815,5176,3981
637504,1820,5172,3978
637505,1827,5153,3985
637506,1815,5172,3979
637507,1824,5177,3979
637508,1816,5170,3975
637509,1820,5175,3972
637510,1825,5171,3976
637511,1819,5171,3974
637512,1818,5175,3978
637513,1817,5174,3977
637514,1831,5169,3984
637515,1819,5163,3983
637516,1808,5171,3981
637517,1820,5175,3979
637518,1818,5172,3983
637519,1818,5171,3974
637520,1786,5161,4460
637521,1812,5163,3993
637522,1820,5172,3981
637523,1817,5174,3978
637524,1821,5175,3982
637525,1817,5172,3972
637526,1825,5163,3985
637527,1819,5173,3978
637528,1830,5174,3979
637529,1815,5173,3978
637530,1809,5162,3983
637531,1822,5175,3977
637532,1821,5174,3972
637533,1824,5175,3984
637534,1820,5174,3977
637535,1820,5175,3978
637536,1818,5176,3979
637537,1820,5174,3967
637538,1807,5170,3977
637539,1818,5173,3981
637540,1818,5168,3985
637541,1819,5170,3969
637542,1813,5171,3980
637543,1824,5172,3978
637544,1817,5172,3989
637545,1818,5172,3978
637546,1818,5172,3978
637547,1818,5170,3980
637548,1819,5173,3974
637549,1816,5174,3982
637550,1812,5174,3977
637551,1816,5166,3978
637552,1806,5171,3971
637553,1820,5169,3976
637554,1811,5169,3980
637555,1819,5171,3989
637556,1820,5187,3978
637557,1813,5176,3972
637558,1820,5173,3977
637559,1820,5173,3981
637560,1808,5172,3972
637561,1817,5174,3978
637562,1818,5172,3967
637563,1819,5171,3978
637564,1820,5171,3978
637565,1814,5171,3983
637566,1819,5178,3982
637567,1819,5174,3978
637568,1819,5178,3979
637569,1821,5166,3976
637570,1816,5168,3980
637571,1812,5172,3978
637572,1813,5178,3976
637573,1815,5168,3969
637574,1812,5173,3970
637575,1822,5158,3978
637576,1816,5168,3977
637577,1817,5175,3978
637578,1817,5186,3978
637579,1813,5171,3975
637580,1814,5170,3989
637581,1816,5174,3977
637582,1817,5170,3978
637583,1813,5170,3978
637584,1812,5199,3973
637585,1815,5173,3983
637586,1817,5171,3976
637587,1817,5171,3973
637588,1816,5180,3979
637589,1827,5189,3975
637590,1815,5172,3987
637591,1819,5172,3977
637592,1818,5171,3975
637593,1812,5168,3985
637594,1810,5167,3980
637595,1818,5169,3979
637596,1815,5173,3976
637597,1809,5172,3982
637598,1816,5192,3971
637599,1836,5178,3975
637600,1820,5174,3981
637601,1816,5170,3978
637602,1801,5180,3983
637603,1830,5181,3980
637604,1815,5168,3972
637605,1819,5172,3974
637606,1811,5167,3978
637607,1830,5171,3976
637608,1810,5171,3975
637609,1825,5176,3977
637610,1814,5173,3981
637611,1820,5177,3977
637612,1820,5173,3971
637613,1815,5172,3977
637614,1824,5173,3976
637615,1817,5175,3977
637616,1814,5172,3979
637617,1817,5171,3977
637618,1817,5162,3981
637619,1814,5173,3978
637620,1822,5163,3993
637621,1804,5170,3977
637622,1815,5168,3980
637623,1811,5174,3976
637624,1827,5172,3974
637625,1820,5176,3976
637626,1819,5173,3969
637627,1820,5182,3978
637628,1822,5172,3981
637629,1817,5171,3974
637630,1819,5173,3977
637631,1816,5150,3988
637632,1827,5189,3980
